track_name,lyrics
Beamer,"(M-M-Murderer)
Mm-mm, mmmh
(Wooh)
Ohh-oh, ohh-oh, ohh-ohh-ohh
Journey of a thousand mile begin with a step, oh low
Rich men turn poor, poor men turn rich
Onyi bi tyre ni
Deep in my mind and my heart and my soul
Still tryna pull a Maybach
Me no like elenu mefa
Say Wavy, say me na Top Memba, yeah-yeah, oh
Oh my lover? (Oh my love')
Your father said ""I'm just a dreamer""
Tori mora Solara (Solara), Solara oh-oh
My punana, your body is Al Jannah
Tinba ra Beamer (mm), I go carry turkey nla (ayy)
Eni wish me bad (I don't care), koleje ara ibi mo (ayy)
Alara mimo (ye), ki maga l'ari mo (ye)
Loader ma gor (ayy), fi cana yen si ina
Tinba ra Beamer (ayy), I go carry turkey nla (ayy)
Eni wish me bad (I don't care), koleje ara ibi mo (ayy)
Alara mimo (ye), ki maga l'ari mo (ye)
Loader ma gor (ayy), fi cana yen si ina
Steady denge, dey pose
Office two-four, seven, man no dey close
B'olegun baba eni ma jo
And if he say he no dance again, ohun ni ""no goal-goal""
(Who no come, no go know oh)
Say who no get money, ko kin l'eko
Nkan toh da'le, sh'oma le ko?
Uh-nuh-nuh, sh'oma le ko ohh?
Tori mora Solara (Solara), Solara oh-oh
My punana, your body is Al Jannah
Tinba ra Beamer (ayy), I go carry turkey nla (ayy)
Eni wish me bad (I don't care), koleje ara ibi mo (ayy)
Alara mimo (ye), ki maga l'ari mo (ye)
Loader ma gor (ayy), fi cana yen si ina
Tinba ra Beamer (ayy), I go carry turkey nla (ayy)
Eni wish me bad (I don't care), koleje ara ibi mo (ayy)
Alara mimo (ye), ki maga l'ari mo (ye)
Loader ma gor (ayy), fi cana yen si ina"
Chandelier,"Ah, SoLid

Abi you don forget?, hmm
Abi you don forget?

You pursue me go, you call me vanilla
Too late to cry watch am like cinemas
As corny man die, na corny man bury am
You left a star hanging chandelier
You pursue me go, you call me vanilla
Too late cry watch am like cinema
As corny man die, na corny man bury am
You left a star hanging chandelier
Pursue me go, you call me vanilla
Too late cry when I dey Cullinan
As corny man die, na corny man bury am
You left the star hanging chandelier

Road to paradise steep and rocky
You no fit connect connect the dots like cufflinks
Just because say you no see am well
No mean say make you look am less
When I text you, you reply emoji
You vacate my space, you no give notice
When I jam rock, I no see Moses
Hmm, I cry water plenty
Truly, every failure na blessing
(Na you for they balance am for me but you run away you dey look for a finished product)
You see, I for my reply but my love for
Truly, every failure na blessing
(Na you for they balance am for me but you run away you dey look for a finished product)
You see, I for my reply but my love for
THC made me lazy

You pursue me go, you call me vanilla
Too late cry watch am like cinemas
Corny man die, na corny man bury am
You left the star hanging chandelier
Pursue me go, you call me vanilla
Too late cry when I dey Cullinan
As corny man die, na corny man bury am
You left a star hanging chandelier

Nobody can see the future, na why you suppose no dey look down
(SoLid)"
Doha,"Yo Dibs

Ọrọ mi lọ n sọ, emi lọ'n wa
Dem say dem dey there, emi gan wa
I get to stopover for Doha
Fly 'round the world with my traumas

Ko ṣe ni to Ọlọrun, ko ṣe ni ju Ọlọrun
Ko ṣe ni to Ọlọrun, ko ṣe ni ju Ọlọrun
This my talent, aje, na follow come
Dem dey ask who I follow come
E mi gan-gan, mi o fọ fun wan
I told them oh, mo sọ fun wan

Me know say I dey show you love
Why you no go show me love
Tell me why some people no dey fear God
Forgive us, oh dear Lord, dear Lord
Atẹgun fẹ lọ, right now mi o fẹ jọ
Ati mọ, mo ti jẹ lọ
Do good and show love

Oh-eh-oh-oh-oh-oh-eh-eh-oh (Do good and spread love)
Oh-еh-oh-oh-oh-eh-eh-oh (Do good and spread lovе)
Oh-eh-oh-oh-oh-oh-eh-eh-oh (Do good and spread love)
Oh-eh-oh-oh-oh-eh-eh-oh (Do good and spread love)

Cape Verdean girls dem ma gbewa (Gbewa)
London girls dem ma gbewa (Gbewa)
American girls dem ma gbewa (Gbewa)
Caribbean girls dem ma gbewa (Gbewa)

Ko ṣe ni to Ọlọrun, ko ṣe ni ju Ọlọrun  (Baby)
Ko ṣe ni to Ọlọrun, ko ṣe ni ju Ọlọrun  (My baby)
This my talent, aje, na follow come
Dem dey ask who I follow come
E mi gan-gan, mi o fọ fun wan
I told them oh, mo sọ fun wan

Me know say I dey show you love
Why you no go show me love
Tell me why some people no dey fear God
Forgive us, oh dear Lord, dear Lord
Atẹgun fẹ lọ, right now mi o fẹ jọ
Ati mọ mo ti jẹ lọ
Do good and show love

Oh-eh-oh-oh-oh-oh-eh-eh-oh (Do good and spread love)
Oh-eh-oh-oh-oh-eh-eh-oh (Do good and spread love)
Oh-eh-oh-oh-oh-oh-eh-eh-oh (Do good and spread love)
Oh-eh-oh-oh-oh-eh-eh-oh (Do good and spread love)

Yo Dibs"
Hey Jago,"Hey Jago! Hey Jago!
Hey Jago! (Ki-) Hey Jago!

You dey press money before (
That's right
)
That one na old taker (
Okay
)
Me sef go press for sure (
You be what?
)
I be the new taker (
Shoday, kí lo dé?
)
Wọ́n ti gbezome (
Jẹ́ ó mọ̀
)
Old taker ti gbezome (
Wahala
)
Má lọ́ gbezome
Ọmọ aunty mi no gbezome (
Fún wọ́n
)

Hey Jago (Brohz the 'flextion)
What's popping, Jago? (Biggest)
High fashion Jago
Figo ó máà kì n ṣe wazo o (They know)
Hey Jago (Jago)
Èmi ni èèyàn Jago (
One-on-one
)
Shoday èèyàn Paso (
Eish
)
Lambo ó máà kì n ṣe wazo o

Hey Jago (Number one)
Gbogbò aṣọ ló ní bàtà (Thеy know)
CEO, high fashion tiwa (Dollar)
Ọmọ Tiamiyu gan-gan (Jẹ́ wọn mọ̀)
Wọ́n dá mọ̀ l'Ókè-Kòtò (International)
Atóóbájẹ́ wọ Morikaz (Jago)
Ojú-Ìrìn, Pen Cinema (Dеy go)
Aja one, aja two (You say what?)
Gbé wọ́n sáré wọ Switzerland (Sherish)
Wọ́n dá mọ̀ l'America (Pe-lorish)
High fashion wọ Canada (Sharp)
Ó y'ẹ́ruku, Jago is loud (Yebo)

Tí n bá rí 50 dollar, máa gánu síbẹ̀
No money is ever enough (
At all
)
Ta, ta ,ta bí Dangote (
Shoday
)
K'ówó mi kún sókè
I left home to feed home
Mo jáde tán, wọ́n se jollof (Badder)
Go hard or go home (Ekpo)
Ọmọ ìyá mi, má sa lo'le  (Yo X)

Hey Jago (Hey Ja—)
What's popping, Jago? (I don't know)
High fashion Jago (Sheesh)
Figo ó máà kì í ṣe wazo o (Number one)
Hey Jago (Zero, k'ówó pọ̀)
Èmi ni èèyàn Jago (Wọ́n dá mọ̀)
Shoday èèyàn Paso
Lambo ó máà kì í ṣe wazo o (Hey Jago)

Hey Jago (Sheesh)
Gbogbò aṣọ ló ní bàtà (As-in Elder)
CEO, high fashion tiwa (Jẹ́ ó mọ̀)
Ọmọ Tiamiyu gan-gan (You don dey)
Wọ́n dá mọ̀ l'Ókè-Kòtò (You don dey, you don dey, na go jo)
Atóóbájẹ́ wọ Morikaz (You don dey  joor, hello)
High fashion wọ Canada (Hey Jago)
Ó y'ẹ́ruku, Jago is loud (Hey Jago)

Hey Jago! (Sheesh)
Jago, Jago, Jago
Ọmọ líle lápá Agege, wọ́n dá mọ̀ (Yo X)
Yebo
(Ki-)
(Hey Jago, hi—, hi—)"
LEGOLAS,"Bare times, bare times (Bare times)
Bare times, bare times (Yee)

Bare times wey I pay bride price
All the women wey I follow, them been do me one kind
I no blame them, I been dey poor
Sapa don't care, e dey wound us
But now (Amen, oh)
I dey fire like I'm Legolas, Legolas, Legolas (See them, oh)
The king of my hood, I'm the principal, principal, principal (I dey give them hope)
Ayy, my pain is all over now, over now
I make my mummy proud (I dey give am hope)
Because I dey fire like I'm Legolas (Oh), Legolas, Legolas (Dem put head)
Ayy, Legolas, Legolas (Them pretend)

Full time daddy in my house (Amen, yes)
Big time hubby to my mum (Love)
I don turn her spouse (Crown)
Since my papa die, na me dey pattern up
I had to loosen up
Kala please, will you save? (Maybe)
Get your money stuffed
Put away some dollars
Let's protect your son
I know your guys are much
Use your head they thought
I sure say na the same thing dem been yarn Jesus
If I listen, will I have my own Galácticos? (Abass)
Fatboy, Shagba, Reeplay, AG, Gusty, see team
ABJ show me shege
But when in Cameroon, my babies call me Big Olembe
I came up very quick in Ghana, I'm the new Sarkodie
Chalé, I'm clear
According to your girl

Bare times wey I pay bride price
All the women wey I follow them been do me one kind (Bare times)
I no blame them, I been dey poor (Kala)
Sapa don't care, e dey wound us
But now, I dey fire like I'm Legolas, Legolas, Legolas
The king of my hood, I am the principal, principal, principal (I dey kill am)
Ayy, my pain is all over now, over now
I make my mummy proud (Chai, mummy proud)
Because I dey fire like I'm Legolas, Legolas, Legolas
Ayy, Legolas, Legolas

Isabella finish me because money no dey I no fit meet up
Isabella cost, before my Indomie no get Titus
Show promoters labelled me a fraud, 'don't let him perform'
I just figured, they just figured, I'm the first born
I just figured, they just figured, I'm the first born
I just figured, I'm the first born

Ignorance na wetin dem been dey pop
(Pakalin, Roche and Fanta) When they see my shit dey go, na wetin dem dey talk (Greek god)
ABJ stand up
Odumodu, kala (Catholic, Redeem, Eckankar)
I came into the field like I'm Georgios Samaras"
MARIO KART,"Semzi
Semz Bond
Oh, my God

Everything l'ọwọ́ Ọlọhun lo wa
Everything l'ọwọ́ Ọlọhun lo wa
Everything l'ọwọ́ Ọlọhun lo wa
Running, running like Mario Kart
Running, running like Mario Kart
Running, running like Mario Kart
Ọmọge Nintendo
I fit dance like Micheal Jackson
Ọmọge Nintendo
One hundred and fifty five karats
Seven and five on the cuban
Six figures, ọmọ ológo (Ọmọ ológo)

Tell your jeweler to add it up
Anywhere I dey, I dey fuck shit up
Shut down Lagos to London
I get dealer for America
Santa Monica, North Carolina
Ọmọge po, you dey see am
Orin labi, you dey feel am
Olúwa loseyi, jo ma pami na
My music sweet pass vanilla
Afrobeat lori pangolo
Anyhow e be k'еmi ṣa l'owo (K'emi ṣa l'owo)
Ọmọ jo A$AP Rocky
Black boy thing mole jo Carti
My style likе Lil baby
Highest in the room ẹ̀yán Travis Scott
I love my girl and she love me back too (Mm)

Everything l'ọwọ́ Ọlọhun lo wa
Everything l'ọwọ́ Ọlọhun lo wa
Everything l'ọwọ́ Ọlọhun lo wa (Everything, baby everything)
Running, running like Mario Kart
Running, running like Mario Kart
Running, running like Mario Kart (Like Mario Kart)
Ọmọge Nintendo
I fit dance like Micheal Jackson
Ọmọge Nintendo (Like a Micheal Jackson)
One hundred and fifty five karats
Seven and five on the cuban
Six figures, ọmọ ológo

Everything l'ọwọ́ Ọlọhun lo wa
Everything l'ọwọ́ Ọlọhun lo wa
Everything l'ọwọ́ Ọlọhun lo wa (Everything, baby everything)
Running, running like Mario Kart
Running, running like Mario Kart
Running, running like Mario Kart
Ọmọge Nintendo
I fit dance like Micheal Jackson
Ọmọge Nintendo
One hundred and fifty five karat
Seven and five on the Cuban
Six figures omo ologo"
Management,"Phiz

Where you dey bomb? Afghanistan
Mark Zuckerberg, no do pass this one
Elon Musk come out, you dey pack am
Na logins to FB me I want
Where you dey bomb? Afghanistan
Mark Zuckerberg, no do pass this one
Elon Musk come out, you dey pack am
Na logins to FB me I want

Eh, Elon Musk wey be Elon Musk
Elon Musk, wey be Elon Musk
Packer wey come dey pack am
Taker wey come dey take am
Packer wey come dey pack am
Taker wey come dey take am
E don pay, management, GLK, I wan scra
E don pay, managеment, GLK, I wan scra

One, two, three, four, five, six, sеven, eight (Ehn)
Two, three, four, five, six, seven, eight (Ehn)
Three, four, five, six, seven, eight (Ehn, Wahala)
Four, five, six, seven, eight

Obatosu to Khalid funds CC (Five, six, seven, eight. Six, seven, eight)
Plenty enjoyment dey pain poor man (Anyway)
Once upon a time I was in love (Wahala)
Me I don taste love (Taste am)
Omoge me I don taste cana
Canakuta, but I highly recommend my cana
Say, before any girl go see my preeq (Amu boy)
She go get TF and come my Opay (Ehn-ehn)
Make I give am opueh (Opueh)
To cut the long story short (Geh-geh)
Aleye, see, make you paste your wallet (Hmm)
If all back don tire you (Tire you)
Fine girl, make you weave am go front
Management, GLK (GLK), I wan scra (I wan scra)
Management, GLK, I wan scra

Packer, packer, Odinaka
Roll up your steeze, another banger
I get am for steeze, I no like banter
No touch my earpiece another matter
'Cause when it burst, shey you hold money for love
Me I no like too much talk
You bomb Elon Musk
You dey buy Louis Vuitton
You don dey flenjo the funds
Packer, packer, Odinaka
Roll up your steeze, another banger
I get am for steeze, I no like banter
No touch my earpiece another matter
'Cause when it burst, shey you hold money for love
Me I no like too much talk
You bomb Elon Musk
You dey buy Louis Vuitton
You don dey flenjo the funds

Gree-eh
Geh-geh
Gree, gree, gree
Geh-geh
They call me Smur Lee
Graah
Yea, yea-yea, yea-yea"
Most Wanted,"My light turn like (my light turn like)
(Whoa-oh, ooh-whoa, woah)
(Whatever you want)
(Niphkeys, Niphkeys)
Can’t touch me, I feel anointed (can’t touch me, I feel anointed)
Living a five star life, man be like wanted (five star life, man be like wanted)
No problem, we get it sorted (no problem, we get sorted)
Girlies go down one time, if I say “I want head”
Nigga ain’t trying, say they know I rugged
Hunter fit to be the hunted
Touch down like the most wanted
Touch down like the most wanted
Ask about Zino’ anywhere, dem dey feel me, hundred
Anytime wey we drop, wọn jẹ
Touch down like the most wanted
Touch down like the most wanted
Hmm, dey my body oh, I no fit lie you
Better no try me, ọmọ, I fit kpai you
I dey lodging, ọmọ, I fit fly you
I’m legit, ọmọ, I feel fly
Say me, I go do anyhow ’cause Baba go dey my side
2:30, ọmọ, we dey outside (ọmọ)
They want make my boat just capsized
But, Baba God dey my side
They don’t wanna see me in this bitch
They know I’m really rich
They wanna see me in the ‘Rrari
They don’t even know if I guide, uhn
Ah-they made a post on Instagram
Tryna hinder glory mi (hinder glory mi)
Even though, dem no know story mi (dem no know story mi)
Adigun, leave them, what mama sọh fun mi (what mana sọh fun mi)
They wish they could kill me, I see many jealousy (many jealousy)
Tell my nigga “bámi gbè Hennessy”
Rọrá broda, máku nitori mi
Hmm, èmi RudeBoy
Most wanted bi crude oil
Say dem know I dey do much
It’s like 411, I’m too clutch
Nigga ain’t trying, say they know I rugged
Hunter fit to be the hunted
Touch down like the most wanted
Touch down like the most wanted
Ask about Zino’ anywhere, dem dey feel me, hundred
Anytime wey we drop, wọn jẹ
Touch down like the most wanted
Touch down like the most wanted
Hmm, dey my body oh, I no fit lie you
Better no try me, ọmọ, I fit kpai you
I dey lodging, ọmọ, I fit fly you
I’m legit, ọmọ, I feel fly
Say me, I go do anyhow ’cause Baba go dey my side
2:30, ọmọ, we dey outside (ọmọ)
They want make my boat just capsized
But, Baba God dey my side
They don’t wanna see me in this bitch
They know I’m really rich
They wanna see me in the ‘Rrari
They don’t even know if I guide, uhn
(Play the keys, baby)"
My Darling,"Sweet melody

Ooh, ooh
Ooh (Emerem mu gini oh), ooh
Ooh, ooh
Ooh (Emerem mu gini oh), ooh

Telli me what I owe you
Telli me what you wanting me to give you
Mm, my darling
What is it that they told you?
Telli me how they be fooling you like oluku (Telli me how they be fooling you like oleku)
Mm, my darling

My darling, emerem mu gini yo
My darling, emerem mu gini yo
My darling, emerem, emerem mu gini yo
My darling, emerem mu gini yo

Ooh, ooh
Ooh (Emerem mu gini oh), ooh
Ooh, ooh
Ooh (Emerеm mu gini oh), ooh

Isabella
Ogburo Isabella jowo
I dey tеll ya
The kayamata wey you do me dey there dey work
Kayamata tilahkya
Kiri piti-piti juju wey you do me tilahkya on top
Me nor know why you be feeling awkward
Mah kpo kpo shigari yakare jare

My darling, emerem mu gini oh
My darling, emerem mu gini oh
My darling, emerem mu gini oh
My darling, emerem mu gini oh

Ooh, ooh
Ooh (Emerem mu gini oh), ooh
Ooh, ooh
Ooh (Emerem mu gini oh)

My darling mo, my darling mo
My darling mo, my darling"
SHAOLIN,"En-en-en
Enta

Money na the formula, big girls dem know
L'eni a'ma shayo
Coco, marshmellow
Banker don dey call me
Billion zero zero
Orí mi Swagu
Gbó gbó e ni ma daru
Gbó gbó yin, ni ma dà mú
Loseyi drop gbedu, gbedu like Shaolin
Antonio violin
Béèrè mi lowo Farouq, ọ fún mi ni'gbo Wizzy
O lo far, I dey reason
Ayé yin o ma bàjé, ẹni ba robi romi
Baby koleremi, baby koleremi
Simple like A.B.C, simple like A.B.C
Shawty, this your waist line
No dey make me waste time
I must shine when I must shine
I dey outside, baby girl where your Uber?
Ogba, Oga
Ikorodu ṣa l'oga wa
T'ina ba ku, a'ma tán gen
To ba wu wa alе fa'ja
Fa'ja, Fatai
Ta lo l'ọmọ to ni kaka?
Dudu yemi, Wande Coal
I love that booty, I lovе that booty
Booty, booty, booty, it's a booty call

Everywhere good
Everywhere peh cheh cheh cheh cheh cheh
Cheh cheh cheh cheh cheh cheh cheh cheh cheh cheh
Everywhere good
Everywhere peh cheh cheh cheh cheh cheh
Cheh cheh cheh cheh cheh cheh cheh cheh cheh cheh

Press am dey go, ko ma lo bẹ
Ìsàlè Eko, ka lo petty
Enter Europe, next to Spain
Enter Madrid, sexy energy
Ẹlẹda maami, ma je n ṣ'esin
Lako ni mo wa bi ìbọn
To ba jogo, o ko soji
Lako ni mo wa bi ìbọn
T'ọba dúró ko ṣora e, to ba duro ko ṣora e
Sisi, dúró ko ṣora e
Uh, uh, mm, mm
T'ọba dúró ko ṣora e

En-en
Everywhere good
Everywhere peh cheh cheh cheh cheh cheh
Cheh cheh cheh cheh cheh cheh cheh cheh cheh cheh
Everywhere good
Everywhere peh cheh cheh cheh cheh cheh
Cheh cheh cheh cheh cheh cheh cheh cheh cheh cheh
Everywhere good
Everywhere peh cheh cheh cheh cheh cheh
Cheh cheh cheh cheh cheh cheh cheh cheh cheh cheh
Everywhere good
Everywhere peh cheh cheh cheh cheh cheh
Cheh cheh cheh cheh cheh cheh cheh cheh cheh cheh"
