track_name,artist,release_date,track_id,popularity,duration_ms,mood,Tempo (BPM),Key,Beat Strength,genre,streams_per_day,viral_on_tiktok,in_billboard_africa
Beamer,T.I BLAZE,2024-10-14,4i3wDQa5VBDPUiREGaS44Z,66,166153,Confident 😎🔥,116,F Minor,Strong,Afrobeats,63981,0,1
Chandelier,Monaky,2024-11-21,20l4NPs2c9OBKBKUKRjxIy,72,175666,Confident 😎🔥,100,F Minor,Strong,Afrobeats,121466,0,1
Doha,Seyi Vibez,2024-07-13,5hphSVebVxTpDfrk09W0hS,70,164317,Confident 😎🔥,204,F Minor,Strong,Afrobeats,99928,0,0
Hey Jago,Poco Lee,2025-03-18,4xVj25uTjTZCaHbSFbYwAE,69,125284,Happy 😁🎉,125,C# Minor,Strong,Afrobeats,115133,1,1
LEGOLAS,ODUMODUBLVCK,2025-03-31,0OWPr4POCQ7iH9BGmTxOZV,68,169285,Confident 😎🔥,61,D Minor,Strong,Afrobeats,150433,0,0
MARIO KART,Seyi Vibez,2025-02-20,52ZxqHSe1HesJPwuuBiW4U,72,171138,Confident 😎🔥,115,A Minor,Strong,Afrobeats,167073,1,1
Management,Smur Lee,2025-01-25,7L1DT2ByQ331AJkDfjvI5N,70,155669,Confident 😎🔥,112,A♭ Major,Strong,Afrobeats,79546,0,0
Most Wanted,Zinoleesky,2025-04-04,5rFZHAhav5kGsSAKtQHRHq,68,142758,Confident 😎🔥,115,C Major,Strong,Afrobeats,204199,0,0
My Darling,Chella,2025-03-27,7mdvPu1ZAOIgMzr3sfpAqk,73,146086,Romantic 💋🌹,115,G Minor,Strong,Afrobeats,289693,1,0
SHAOLIN,Seyi Vibez,2025-02-10,2hODYSmDyWMu2C2XN4bgOV,74,140527,Confident 😎🔥,151,F Minor,Strong,Afrobeats,205088,1,1
TOY GIRL (with Juno & Valentino Rose),ODUMODUBLVCK,2025-03-31,3iHp95MVzN1hBiOuR0cJmy,65,172800,Confident 😎🔥,110,E♭ Minor,Strong,Afrobeats,92148,0,0
Trenches Luv,T.I BLAZE,2025-02-13,2v7r3nItoWRbCQBS1qFQnD,67,205714,Sad 🎭💔,105,F Minor,Subtle,Afrobeats,73091,1,1
"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)",DJ Maphorisa,2025-03-28,62auSQwzIlyVuqUsxd4w63,60,518307,Happy 😁🎉,113,A♭ Major,Syncopated,Amapiano,49386,0,
All My Life,Mawelele,2024-08-30,5cXQqSOPLb1ZYLBaRcR2LP,55,266526,Romantic 💋🌹,95,A♭ Major,Subtle,Amapiano,47373,0,
Awuhlabe Kabili,LIMIT NALA,2024-12-06,5nVQ2bPZjV9wlD2hboLe6l,60,293877,Happy 😁🎉,105,G Major,Strong,Amapiano,26640,0,
Dear Ex Yami,Mduduzi Ncube,2024-09-22,1lOtpeO2I2cjvN2CvbnpGW,59,278875,Sad 🎭💔,150,F# Major,Strong,Amapiano,25769,1,
Malunde (feat. Springle),Shakes & Les,2024-12-13,4SNuYEPry1aKf6mjRPz3J6,59,374657,Happy 😁🎉,113,F# Minor,Syncopated,Amapiano,7145,0,
Naledi,Mawelele,2025-03-10,73XTer5tuPKNstPEW1eKwL,59,203210,Romantic 💋🌹,95,C Major,Subtle,Amapiano,41217,0,
Ngiyakuthanda,MENZI MUSIC,2025-02-02,3RCMGDpJlWeEgCLhOz63oa,60,283062,Romantic 💋🌹,136,G Minor,Strong,Amapiano,52669,0,
Romeo & Juliet,Naledi Aphiwe,2025-01-22,021iZJ1jjc6cZZ4sMXvcW9,64,307663,Romantic 💋🌹,126,D Major,Strong,Amapiano,57705,1,
Shapa Bell,Naleboy Young King,2025-04-01,5gv0qxo4O7kuU6tOzIYm2k,57,267189,Happy 😁🎉,127,E♭ Minor,Strong,Amapiano,111599,0,
Shayi'Moto (feat. Seemah & Yanda Woods),Mellow & Sleazy,2024-11-01,0AQfRLzd7pQZcLtfh9Onb8,64,445719,Happy 😁🎉,112,C♯ Minor,Syncopated,Amapiano,60990,1,
Ungangilimazi (feat. Frank Mabeat),Dj Moscow,2024-09-20,0SWRckW8kXfGzBW72pduvZ,56,341128,Sad 🎭💔,113,A♯ Minor,Syncopated,Amapiano,24087,0,
Uvume Kanjani?,LIMIT NALA,2025-03-21,1SBdVvoxfFvuO6BVY9WqnI,61,284055,Sad 🎭💔,130,G Major,Strong,Amapiano,56044,1,
Sdudla or Slender,Shandesh,2025-03-20,2Ufc72Ojfx9lR30r5srBPB,66,224187,Happy 😁🎉,127,B Major,Strong,Amapiano,120613,1,
Vuma Dlozi Lami (feat. Ancestral Rituals),Issa sisdoh,2024-09-21,0DGP0pRR8yz4OW2xxjIskt,66,380238,Confident 😎🔥,118,D Major,Strong,Amapiano,45310,0,
Ngisakuthanda,Zee Nxumalo,2024-09-06,2tUXE87QNnoVQZApV3uyVZ,66,412092,Sad 🎭💔,113,A♭ Minor,Syncopated,Amapiano,33068,0,
"Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings)",DJ Maphorisa,2025-01-31,4QdFYz1hjkDVDTqAKmIdOx,68,578571,Happy 😁🎉,112,C♯ Major,Syncopated,Amapiano,81288,1,
Vuka (feat. Thukuthela),Oscar Mbo,2024-12-15,24fRfn3FOM4xk02aE4wief,67,327451,Chill 🧘🏾‍♀️🌊,118,E Minor,Strong,Amapiano,73279,1,
Uyaphapha Marn (feat. Scotts Maphuma & Kabelo Sings),TNK MusiQ,2025-01-31,1F3J7D5byxTWbEyhpizptk,66,437787,Happy 😁🎉,113,C# Major,Syncopated,Amapiano,67205,1,
Wayengenalutho,MENZI MUSIC,2025-02-21,6VBfzBgHu8tFeeg2ZQO4gH,63,312293,Sad 🎭💔,69,A Major,Subtle,Amapiano,90410,0,
Sohlala Sisonke,Dlala Thukzin,2025-02-14,7hO6BIPeHb0Y5v9bgXoxKg,65,327457,Romantic 💋🌹,118,G Minor,Strong,Amapiano,222580,1,
Bo Gogo (feat. Tracy & Thatohatsi),Kelvin Momo,2025-01-31,1blpjqXA4y03pWHnDbhs9l,65,527129,Chill 🧘🏾‍♀️🌊,113,B♭ Minor,Syncopated,Amapiano,84428,1,
HAUSAPIANO - Remix,Kvng Vinci,2024-10-31,3H2bLX6U4kNuv04iTkCrSp,70,137844,Happy 😁🎉,116,G Major,Strong,Amapiano,128838,1,
"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",Mr Pilato,2024-10-20,7MD8gswt08VhFwVF1PR8Mg,69,454778,Happy 😁🎉,113,C# Major,Syncopated,Amapiano,136341,1,
"UYAH! (feat. 2wo Bunnies, Jay Music, & Imbongi Yosizi)",Uncle Waffles,2025-02-10,2J8TIoje5sqUoz4I3JIZkI,60,412500,Happy 😁🎉,114,D♭ Major,Syncopated,Amapiano,35866,0,
Vulani (feat. Thatohatsi & Tracy),Kelvin Momo,2024-12-09,62KQubjM0rmQ7L3VvybxrL,61,476100,Chill 🧘🏾‍♀️🌊,113,C# Minor,Syncopated,Amapiano,26363,0,
Skuta Baba - Remix,WOODBLOCK DJS,2024-12-06,2NUL19ktYaXmes18Cz7HPn,63,372710,Happy 😁🎉,98,A Minor,Strong,Amapiano,56984,1,
"ZENZELE (feat. Royal MusiQ, Uncool MC, Xduppy, & CowBoii)",Uncle Waffles,2025-03-15,4foPE26gCg9uNJKTV8Mi4C,60,273098,Happy 😁🎉,113,A♭ Minor,Syncopated,Amapiano,69465,0,
Wishi Wishi (feat. Scotts Maphuma & Young Stunna),Kabza De Small,2024-09-29,34eKUydsaj9GeMTT1ybutO,64,381428,Chill 🧘🏾‍♀️🌊,112,C# Major,Syncopated,Amapiano,67404,1,
Ama Gear,Dlala Thukzin,2023-12-01,0cnbEf12FLBWx9QnBlw1EL,60,425338,Happy 😁🎉,118,C# Major,Syncopated,Amapiano,22619,0,
"Kabza Chant (feat. Young Stunna, Nkosazana Daughter, Mthunzi, Nokwazi, Anzo, Mashudu, Murumba Pitch & Tman Xpress)",Kabza De Small,2024-11-03,1G3NTy7WKbEznyJlTQXWMX,52,931597,Chill 🧘🏾‍♀️🌊,113,G♯/A♭ Major,Moderate,Amapiano,48933,1,
"Abo Nokthula (feat. The Exclusive SA, Scotts Maphuma, Kabelo Sings, Bontle Smith, 2woshort & Stompiiey)",TNK MusiQ,2024-12-28,3FNtYaS85lCdYwDPw7CsIH,52,368577,Happy 😁🎉,113,G♯/A♭ Major,Moderate,Amapiano,37514,0,
Arike,Kunmie,2025-02-15,1y9DKiy8X0zejal5Avpleb,78,124286,Sad 🎭💔,85,C Major,Subtle,Afrobeats,393582,1,1
Are you there?,Ayo Maff,2024-08-16,10y7iW3rc8bzGbhAC3mNPA,71,156428,Happy 😁🎉,112,C Major,Strong,Afrobeats,133111,0,0
Awolowo,Fido,2024-08-14,1136eJrkWsDvReASbjLTaU,74,135576,Happy 😁🎉,106,C Minor,Strong,Afrobeats,201830,0,0
Be There Still,Davido,2025-02-14,5hohPxxNfGRbW0PG2R0mhd,72,195789,Confident 😎🔥,114,E Minor,Strong,Afrobeats,116169,0,1
Na Scra,Famous Pluto,2025-03-07,4XHrQHvHWlE0RldeG8Nslq,73,150000,Confident 😎🔥,112,C♯ Major,Moderate,Afrobeats,195911,1,1
Free of Charge,Joeboy,2025-03-27,5yyVAz3WD6L6143oGfQ3AT,64,173858,Romantic 💋🌹,127,E Major,Strong,Afrobeats,112687,0,0
PITY THIS BOY (with Victony),ODUMODUBLVCK,2025-02-28,32ricrpPgci8zrxFBpLBI6,75,165000,Sad 🎭💔,112,B Minor,Strong,Afrobeats,482373,0,1
Get Better,Zlatan,2025-03-21,5nmYNuBSh99LNDdZ0iSe2O,72,195600,Confident 😎🔥,66,A♭ Major,Subtle,Afrobeats,211177,0,1
Funds (feat. ODUMODUBLVCK & Chike),Davido,2024-12-06,7LZkMeX1k8PXQJ0SVYn1A5,74,206948,Confident 😎🔥,113,C# Minor,Strong,Afrobeats,331683,1,1
Happy,Seyi Vibez,2025-02-20,2YwBdxvMFsWUSCaL1U6xIg,71,119954,Happy 😁🎉,114,A♭ Major,Strong,Afrobeats,156018,1,1
Joy is Coming,Fido,2024-12-18,7msfmSm4KbVnIds5DvsGzT,75,188571,Happy 😁🎉,112,C# Minor,Strong,Afrobeats,319761,1,1
JUJU (feat. Shallipopi),Smur Lee,2024-08-22,6XBIOtdSL47qn201KKNCA0,70,157756,Happy 😁🎉,113,F# Minor,Strong,Afrobeats,177204,1,0
Kese (Dance),Wizkid,2024-10-15,6JvWMLscnWYkgX1zPufIGT,71,174053,Happy 😁🎉,118,F Minor,Strong,Afrobeats,253859,1,1
Baby (Is it a Crime),Rema,2025-02-07,6NOrpcicPUh2eaj8bAD44u,81,164151,Sad 🎭💔,97,C Minor,Subtle,Afrobeats,546947,1,1
Venus,Faceless,2025-02-21,2pNjk1fIZTMtj8ry6SdEmB,77,139199,Romantic 💋🌹,100,D Minor,Strong,Afrobeats,525014,1,0
WHY LOVE,Asake,2025-02-12,4uLBwGnr1U3ctcDZrnVEgK,72,210000,Sad 🎭💔,112,F Minor,Strong,Afrobeats,173079,1,1
Laho,Shallipopi,2025-02-21,0lhLSwvRKGHfIcVEz3uQK6,74,144000,Confident 😎🔥,102,C# Minor,Strong,Afrobeats,489832,1,1
